Designator,Mid X,Mid Y,Layer,Rotation
K1,42.326891,-73.684048,top,350.000000
K2,60.053429,-76.809715,top,350.000000
K3,78.648211,-75.011344,top,350.000000
K4,96.895695,-75.182588,top,350.000000
K5,114.101290,-81.262678,top,350.000000
K6,131.827829,-84.388345,top,350.000000
K7,39.374872,-90.425779,top,350.000000
K8,57.101410,-93.551446,top,350.000000
K9,75.696193,-91.753076,top,350.000000
K10,93.943676,-91.924320,top,350.000000
K11,111.149271,-98.004410,top,350.000000
K12,128.875810,-101.130077,top,350.000000
K13,100.726773,-131.198861,top,350.000000
K14,118.453313,-134.324529,top,350.000000
K15,136.179853,-137.450195,top,350.000000
