Designator,Mid X,Mid Y,Layer,Rotation
C1,134.536503,-61.881128,top,270.000000
C2,116.295392,-58.157212,top,90.000000
C3,209.320335,-71.512507,top,280.000000
D1,122.893840,-58.765122,top,0.000000
D2,140.029557,-44.221629,top,270.000000
D3,137.929557,-44.221629,top,90.000000
F1,126.843840,-54.965122,top,90.000000
J1,128.320840,-46.965119,top,0.000000
K1,153.045390,-53.257212,top,10.000000
K2,170.771931,-50.131545,top,10.000000
K3,187.977526,-44.051452,top,10.000000
K4,206.225010,-43.880209,top,10.000000
K5,224.819790,-45.678581,top,10.000000
K6,242.546331,-42.552912,top,10.000000
K7,155.997412,-69.998941,top,10.000000
K8,173.723950,-66.873273,top,10.000000
K9,190.929546,-60.793186,top,10.000000
K10,209.177030,-60.621942,top,10.000000
K11,227.771810,-62.420310,top,10.000000
K12,245.498349,-59.294644,top,10.000000
K13,148.693367,-106.319060,top,10.000000
K14,166.419907,-103.193392,top,10.000000
K15,184.146447,-100.067726,top,10.000000
Q1,121.593840,-61.715119,top,0.000000
R1,133.743838,-59.515121,top,0.000000
R2,133.036504,-61.881127,top,270.000000
R3,122.593839,-56.715120,top,180.000000
R4,137.929557,-47.421629,top,90.000000
R5,124.593841,-53.965122,top,270.000000
R6,140.029557,-47.421629,top,90.000000
R11,136.293841,-50.265123,top,90.000000
R12,123.893839,-50.265121,top,90.000000
R15,133.143841,-70.315122,top,90.000000
SW1,181.159698,-83.129032,top,190.000000
SW2,120.229557,-45.321629,top,180.000000
SW3,163.433158,-86.254700,top,190.000000
U2,118.795391,-58.157209,top,180.000000
U3,121.543838,-54.265123,top,180.000000
U4,130.093840,-54.465120,top,90.000000
U5,138.643838,-70.065121,top,90.000000
U6,212.274757,-70.991564,top,190.000000
