Designator,Mid X,Mid Y,Layer,Rotation
K1,116.709939,88.116705,top,180.000000
K2,98.709932,88.116710,top,180.000000
K3,80.709934,71.116701,top,180.000000
K4,62.709932,66.116707,top,180.000000
K5,44.709933,71.116705,top,180.000000
K6,116.709933,105.116710,top,180.000000
K7,98.709933,105.116706,top,180.000000
K8,80.709933,88.116708,top,180.000000
K9,62.709933,83.116705,top,180.000000
K10,44.709934,88.116706,top,180.000000
K11,49.209938,122.616706,top,180.000000
K12,31.209938,122.616706,top,180.000000
K13,13.209932,122.616705,top,180.000000
K14,26.709935,88.116712,top,180.000000
K15,26.709931,71.116704,top,180.000000
K16,116.709934,16.116712,top,0.000000
K17,98.709934,16.116712,top,0.000000
K18,80.709934,33.116712,top,0.000000
K19,62.709934,38.116712,top,0.000000
K20,44.709934,33.116712,top,0.000000
K21,116.709934,-0.883288,top,0.000000
K22,98.709934,-0.883288,top,0.000000
K23,80.709934,16.116712,top,0.000000
K24,62.709934,21.116712,top,0.000000
K25,44.709934,16.116712,top,0.000000
K26,49.209934,-18.383288,top,0.000000
K27,31.209934,-18.383288,top,0.000000
K28,13.209934,-18.383288,top,0.000000
K29,26.709934,16.116717,top,0.000000
K30,26.709934,33.116712,top,0.000000
R1,-2.790066,29.616717,top,0.000000
U3,-4.040066,35.116717,top,-90.000000
