Designator,Mid X,Mid Y,Layer,Rotation
K1,116.709939,88.116705,T,180.0
K10,44.709934,88.116706,T,180.0
K11,49.209938,122.616706,T,180.0
K12,31.209938,122.616706,T,180.0
K13,13.209932,122.616705,T,180.0
K14,26.709935,88.116711,T,180.0
K15,26.709932,71.116704,T,180.0
K16,116.709934,16.116712,T,0.0
K17,98.709934,16.116712,T,0.0
K18,80.709934,33.116712,T,0.0
K19,62.709934,38.116712,T,0.0
K2,98.709932,88.11671,T,180.0
K20,44.709934,33.116712,T,0.0
K21,116.709934,-0.883288,T,0.0
K22,98.709934,-0.883288,T,0.0
K23,80.709934,16.116712,T,0.0
K24,62.709934,21.116712,T,0.0
K25,44.709934,16.116712,T,0.0
K26,49.209934,-18.383288,T,0.0
K27,31.209934,-18.383288,T,0.0
K28,13.209934,-18.383288,T,0.0
K29,26.709934,16.116717,T,0.0
K3,80.709934,71.116702,T,180.0
K30,26.709934,33.116712,T,0.0
K4,62.709932,66.116707,T,180.0
K5,44.709933,71.116705,T,180.0
K6,116.709934,105.11671,T,180.0
K7,98.709933,105.116706,T,180.0
K8,80.709933,88.116708,T,180.0
K9,62.709933,83.116705,T,180.0
R1,-2.790066,29.616717,T,0.0
U3,-4.040066,35.116717,T,270.0
