Designator,Mid X,Mid Y,Layer,Rotation
C1,3.500002,36.75,T,0.0
C2,6.25,37.499999,T,270.0
C3,6.750002,30.5,T,0.0
C4,-6.0,31.000001,T,270.0
D1,8.0,45.999999,T,90.0
D2,-3.5,35.25,T,180.0
H1,0.0,-0.0,T,0.0
H2,0.0,-0.0,T,0.0
J2,0.0,43.81,T,180.0
K1,-123.350016,32.878149,T,350.0
K10,-71.733225,14.637874,T,350.0
K11,-54.527635,8.557787,T,350.0
K12,-36.801095,5.432117,T,350.0
K13,-64.950132,-24.636663,T,350.0
K14,-47.223587,-27.76233,T,350.0
K15,-29.497051,-30.887998,T,350.0
K16,64.991103,-24.63655,T,10.0
K17,47.264561,-27.762214,T,10.0
K18,29.538029,-30.887884,T,10.0
K19,123.390993,32.878263,T,10.0
K2,-105.623475,29.752479,T,350.0
K20,105.66445,29.752591,T,10.0
K21,87.069673,31.550962,T,10.0
K22,68.822187,31.379719,T,10.0
K23,51.616593,25.299627,T,10.0
K24,33.890053,22.173962,T,10.0
K25,126.343005,16.136534,T,10.0
K26,108.616465,13.010862,T,10.0
K27,90.021687,14.809235,T,10.0
K28,71.774201,14.637992,T,10.0
K29,54.568611,8.557901,T,10.0
K3,-87.028693,31.55085,T,350.0
K30,36.84207,5.432234,T,10.0
K31,-111.527512,-3.730983,T,350.0
K32,-92.932731,-1.932609,T,350.0
K33,-74.685247,-2.103854,T,350.0
K34,-57.479652,-8.183946,T,350.0
K35,-39.753111,-11.309612,T,350.0
K36,111.568487,-3.730868,T,10.0
K37,92.973706,-1.932497,T,10.0
K38,74.726222,-2.103741,T,10.0
K39,57.520627,-8.183831,T,10.0
K4,-68.781208,31.379607,T,350.0
K40,39.794089,-11.309498,T,10.0
K5,-51.575613,25.29952,T,350.0
K6,-33.849073,22.173852,T,350.0
K7,-126.302032,16.136416,T,350.0
K8,-108.575491,13.010749,T,350.0
K9,-89.980711,14.809119,T,350.0
Q1,6.0,24.5,T,0.0
R1,-24.5,22.0,T,0.0
R10,4.250001,29.75,T,270.0
R11,2.75,29.749999,T,270.0
R12,8.0,42.5,T,90.0
R13,-4.499998,31.0,T,270.0
R14,-5.25,33.25,T,180.0
R15,-6.75,41.5,T,0.0
R16,-6.75,35.749999,T,0.0
R17,-6.25,38.0,T,270.0
R2,-22.249999,-7.0,T,180.0
R3,-22.25,-8.5,T,180.0
R4,5.749997,27.0,T,0.0
R5,-22.25,-9.999999,T,180.0
R6,-22.25,-11.5,T,180.0
R7,8.0,27.750001,T,90.0
R8,6.25,43.5,T,270.0
R9,-6.749999,43.000001,T,0.0
SW1,16.5,45.0,T,180.0
SW2,-5.25,26.499999,T,0.0
U1,-20.5,25.749999,T,180.0
U4,5.750001,33.5,T,90.0
U5,9.750002,33.5,T,270.0
U6,1e-06,35.810001,T,90.0
