Comment,Designator,Footprint,LCSC Part #
TM022HDH26,LCD1,TM022HDH26_back,
220,"R3,R5,R6,R2",R_0603_1608Metric,
5.1k,"R8,R9",R_0603_1608Metric,
100k,"R7,R1",R_0603_1608Metric,
1N4148,"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K33,K40,K37,K31,K36,K32,K39,K35,K34,K38",SOD-123,
jlink,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,
4.7uF,"C2,C3,C1",C_0603_1608Metric,
LED_BGRA,D2,LED_ASMB-KTF0-0A306,
100,R4,R_0603_1608Metric,
RED,D1,LED_0805_2012Metric,
10k,"R11,R10",R_0603_1608Metric,
1.2k,R15,R_0603_1608Metric,
MountingHole,H2,auklet-cover-mount,
5.1M,"R14,R13",R_0603_1608Metric,
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
SW_Push,SW2,SW_SPST_TL3342,
XC6206B331MR,U5,SOT-23-5,
SRV05-4,U6,SOT-23-6,
1k,"R12,R17",R_0603_1608Metric,
AO3401A,Q1,SOT-23,
holyiot-18010-no-underside,U2,holyiot-18010-no-underside,
MT25QL128ABA1ESE,U1,SOIC-8_5.23x5.23mm_P1.27mm,
BQ24075,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,
10nF,C4,C_0603_1608Metric,
1.5k,R16,R_0603_1608Metric,
Battery_Cell,BT1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,
SW_SPDT,SW1,SW_SPDT_PCM12,
