Designator,Mid X,Mid Y,Layer,Rotation
C1,-3.231428,35.697251,bottom,0
C2,-3.231426,41.697251,bottom,180
C3,-25.331428,38.106984,bottom,90
C4,-14.031426,48.097251,bottom,0
C5,-7.631426,40.69725,bottom,90
C6,-11.624,30.19725,bottom,180
C7,-25.131426,34.69725,bottom,270
C8,-8.531427,45.997251,bottom,0
C9,-28.331428,39.197249,bottom,0
C10,-31.331425,36.29725,bottom,90
R1,-8.531426,47.99725,bottom,0
R2,-17.140244,46.74375,bottom,90
R3,-18.540245,46.743749,bottom,90
R4,-28.33143,33.197251,bottom,0
R5,-20.931426,20.49725,bottom,90
R6,-23.631426,43.19725,bottom,90
R7,-8.831425,6.39725,bottom,0
R8,-8.831427,7.897251,bottom,0
R9,-8.831426,9.39725,bottom,0
R10,-8.831426,10.89725,bottom,0
R11,-14.731426,51.097251,bottom,90
R12,-20.731426,51.097251,bottom,90
U1,-15.831426,38.197251,bottom,0
U3,-28.331427,36.197252,bottom,180
U6,-17.831426,50.497251,bottom,90
Y1,-3.231427,38.697248,bottom,90
