Designator,Mid X,Mid Y,Layer,Rotation
C1,3.500001,36.750000,top,0.000000
C2,6.250000,37.499999,top,-90.000000
C3,6.500000,30.500000,top,0.000000
C4,-6.000002,31.000001,top,-90.000000
D1,8.000000,43.250000,top,90.000000
D2,-3.500001,35.250002,top,0.000000
J1,-32.499999,40.000000,top,90.000000
J2,-0.000002,44.100000,top,180.000000
K1,-123.350019,32.878150,top,-10.000000
K2,-105.623477,29.752478,top,-10.000000
K3,-87.028693,31.550852,top,-10.000000
K4,-68.781210,31.379608,top,-10.000000
K5,-51.575611,25.299523,top,-10.000000
K6,-33.849075,22.173853,top,-10.000000
K7,-126.302033,16.136416,top,-10.000000
K8,-108.575492,13.010749,top,-10.000000
K9,-89.980712,14.809120,top,-10.000000
K10,-71.733226,14.637874,top,-10.000000
K11,-54.527637,8.557790,top,-10.000000
K12,-36.801098,5.432120,top,-10.000000
K13,-64.950135,-24.636663,top,-10.000000
K14,-47.223588,-27.762329,top,-10.000000
K15,-29.497053,-30.887998,top,-10.000000
K16,64.991104,-24.636549,top,10.000000
K17,47.264560,-27.762214,top,10.000000
K18,29.538027,-30.887884,top,10.000000
K19,123.390994,32.878266,top,10.000000
K20,105.664450,29.752593,top,10.000000
K21,87.069674,31.550962,top,10.000000
K22,68.822185,31.379720,top,10.000000
K23,51.616591,25.299628,top,10.000000
K24,33.890055,22.173963,top,10.000000
K25,126.343003,16.136534,top,10.000000
K26,108.616464,13.010863,top,10.000000
K27,90.021687,14.809236,top,10.000000
K28,71.774201,14.637992,top,10.000000
K29,54.568610,8.557902,top,10.000000
K30,36.842069,5.432236,top,10.000000
K31,-111.527513,-3.730982,top,-10.000000
K32,-92.932730,-1.932608,top,-10.000000
K33,-74.685247,-2.103854,top,-10.000000
K34,-57.479654,-8.183945,top,-10.000000
K35,-39.753112,-11.309611,top,-10.000000
K36,111.568485,-3.730867,top,10.000000
K37,92.973706,-1.932498,top,10.000000
K38,74.726222,-2.103742,top,10.000000
K39,57.520627,-8.183830,top,10.000000
K40,39.794088,-11.309498,top,10.000000
Q1,10.500000,28.749999,top,90.000000
R1,-24.500000,12.749999,top,180.000000
R2,21.750000,-6.249997,top,0.000000
R3,21.750000,-7.750001,top,0.000000
R4,5.500000,27.500000,top,0.000000
R5,21.750000,-9.249997,top,0.000000
R6,21.749999,-10.749999,top,0.000000
R7,7.999999,28.250002,top,90.000000
R8,6.249999,43.500001,top,-90.000000
R9,-6.249998,43.500002,top,-90.000000
R10,4.250000,29.750002,top,-90.000000
R11,2.749999,29.749998,top,-90.000000
R12,8.000001,39.750000,top,90.000000
R13,-4.499999,31.000000,top,-90.000000
R14,-5.250002,33.250002,top,180.000000
R15,-6.250000,40.500001,top,-90.000000
R16,-6.750001,36.000001,top,0.000000
R17,-6.249999,37.500001,top,0.000000
SW1,16.500000,45.000001,top,180.000000
SW2,16.750000,33.750000,top,0.000000
U1,-23.000000,7.250003,top,90.000000
U4,5.749999,33.500002,top,90.000000
U5,9.749999,33.250002,top,-90.000000
U6,-0.000001,35.810003,top,90.000000
